PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.ProteinNames	[1] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S1_S2-C10_1_6765.d.PG.Quantity	[2] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S4_S2-D3_1_6770.d.PG.Quantity	[3] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S7_S2-B8_1_6751.d.PG.Quantity	[4] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S10_S2-A5_1_6736.d.PG.Quantity	[5] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S13_S2-D9_1_6776.d.PG.Quantity	[6] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S16_S2-C7_1_6762.d.PG.Quantity	[7] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S19_S2-E1_1_6780.d.PG.Quantity	[8] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S22_S2-B12_1_6755.d.PG.Quantity	[9] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S25_S2-B2_1_6745.d.PG.Quantity	[10] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S28_S2-B4_1_6747.d.PG.Quantity	[11] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S31_S2-D7_1_6774.d.PG.Quantity	[12] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S34_S2-A11_1_6742.d.PG.Quantity	[13] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S37_S2-E5_1_6784.d.PG.Quantity	[14] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S40_S2-A6_1_6737.d.PG.Quantity	[15] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S43_S2-D1_1_6768.d.PG.Quantity	[16] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S46_S2-E3_1_6782.d.PG.Quantity	[17] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S49_S2-C5_1_6760.d.PG.Quantity	[18] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S52_S2-A2_1_6733.d.PG.Quantity	[19] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S55_S2-G4_1_6807.d.PG.Quantity	[20] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S61_S3-A1_1_6829.d.PG.Quantity	[21] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S64_S2-H6_1_6821.d.PG.Quantity	[22] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S67_S2-G11_1_6814.d.PG.Quantity	[23] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S73_S2-G1_1_6804.d.PG.Quantity	[24] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S76_S3-A3_1_6831.d.PG.Quantity	[25] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S79_S2-G8_1_6811.d.PG.Quantity	[26] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S82_S2-F6_1_6797.d.PG.Quantity	[27] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S85_S2-F4_1_6795.d.PG.Quantity	[28] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S88_S2-H3_1_6818.d.PG.Quantity	[29] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S91_S2-F2_1_6793.d.PG.Quantity	[30] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S94_S2-H2_1_6817.d.PG.Quantity	[31] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S94_S2-H10_1_6825.d.PG.Quantity	[32] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S97_S2-E7_1_6786.d.PG.Quantity	[33] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S100_S3-A9_1_6837.d.PG.Quantity	[34] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S102_S3-A7_1_6835.d.PG.Quantity	[35] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S103_S2-E10_1_6789.d.PG.Quantity	[36] 20231215_TIMS6_EVO4_PRI_X1355_P0280_R01057_44min_DIA_S106_S2-F8_1_6799.d.PG.Quantity
A2VCX1	Tiprl	TIP41-like protein	TIPRL_RAT	46.07209396362305	54.276405334472656	50.432804107666016	59.52924346923828	75.52143096923828	60.649566650390625	92.71492004394531	33.40919876098633	40.84348678588867	37.28166198730469	60.87257766723633	57.88555145263672	54.718353271484375	38.311275482177734	55.36472702026367	66.97370147705078	60.8272819519043	49.9312629699707	42.20806121826172	47.14657211303711	24.222890853881836	27.655414581298828	35.567264556884766	57.31005859375	25.49011993408203	47.01311111450195	64.59219360351562	42.90122604370117	51.3991584777832	32.42304229736328	40.96859359741211	45.39027404785156	31.723526000976562	31.327451705932617	50.63485336303711	43.3504524230957
A2VD12	Pbxip1	Pre-B-cell leukemia transcription factor-interacting protein 1	PBIP1_RAT	62.793460845947266	44.97610092163086	40.954776763916016	69.34844207763672	106.46337127685547	99.50669860839844	NaN	56.93529510498047	58.88563537597656	67.1255874633789	37.88969421386719	61.07741928100586	57.018333435058594	34.157997131347656	24.767362594604492	34.409603118896484	66.08790588378906	64.77274322509766	84.79991912841797	81.70455932617188	100.96553802490234	113.25753021240234	73.69903564453125	54.137939453125	75.7082748413086	56.62470626831055	70.16765594482422	77.21906280517578	57.04663848876953	54.2112922668457	66.5791015625	15.041755676269531	66.41351318359375	54.16447448730469	69.76461791992188	43.06932830810547
A6ZIQ8	Tmem38a	Trimeric intracellular cation channel type A	TM38A_RAT	108.6568832397461	79.29019165039062	40.498497009277344	114.7503433227539	130.25979614257812	87.293701171875	NaN	102.16980743408203	81.798828125	74.28784942626953	23.085052490234375	71.7359390258789	119.9229736328125	70.05069732666016	36.192718505859375	36.50532531738281	93.44921875	35.98308563232422	86.59620666503906	113.1124267578125	73.94718170166016	140.37254333496094	124.69032287597656	39.96889877319336	78.67655944824219	107.8670654296875	119.86105346679688	61.90925598144531	123.61028289794922	133.56346130371094	92.29402923583984	56.605491638183594	119.47761535644531	98.10169219970703	113.87217712402344	52.06663513183594
A7VJC2	Hnrnpa2b1	Heterogeneous nuclear ribonucleoproteins A2/B1	ROA2_RAT	113.30033874511719	79.12635803222656	116.80243682861328	88.30029296875	94.2339859008789	93.87858581542969	429.3356628417969	89.771240234375	105.43831634521484	105.31461334228516	67.67756652832031	87.07787322998047	102.51195526123047	90.98796081542969	88.63204956054688	109.6297836303711	102.60884094238281	85.029296875	115.31890869140625	136.12205505371094	187.32269287109375	96.86408996582031	96.98262786865234	124.46773529052734	107.28762817382812	82.43033599853516	77.3687973022461	97.58770751953125	96.0633316040039	73.03462982177734	113.71135711669922	97.5386734008789	82.63138580322266	78.92823791503906	70.8409194946289	79.10574340820312
A9UMV8;P0C169;P0C170;Q4FZT6;Q64598	H2aj;;;;	Histone H2A.J;Histone H2A type 1-C;Histone H2A type 1-E;Histone H2A type 3;Histone H2A type 1-F	H2AJ_RAT;H2A1C_RAT;H2A1E_RAT;H2A3_RAT;H2A1F_RAT	208.6810760498047	223.45179748535156	245.11624145507812	382.0200500488281	196.58416748046875	73.79612731933594	1746.11865234375	88.29105377197266	208.72833251953125	132.08885192871094	107.1297378540039	128.61935424804688	93.21710968017578	185.5485076904297	44.472259521484375	63.03038024902344	83.43400573730469	36.197513580322266	170.60194396972656	327.3197021484375	482.81500244140625	245.66249084472656	148.07470703125	152.72064208984375	195.8194580078125	172.2544708251953	158.89266967773438	194.56260681152344	183.01524353027344	184.8456573486328	170.90045166015625	140.12989807128906	109.17208099365234	128.0937957763672	40.7491340637207	71.96446228027344
B0BN18	Pfdn2	Prefoldin subunit 2	PFD2_RAT	187.8104248046875	371.80279541015625	231.20042419433594	209.50601196289062	169.78274536132812	269.3895568847656	272.4508361816406	182.94943237304688	156.66673278808594	171.52835083007812	430.50335693359375	133.3233642578125	190.8467559814453	181.19032287597656	236.53848266601562	217.89039611816406	259.2326354980469	137.46670532226562	135.46981811523438	62.12989044189453	95.80299377441406	76.18180084228516	146.00437927246094	77.60409545898438	68.1149673461914	155.2502899169922	157.06932067871094	143.79110717773438	144.9952850341797	96.14032745361328	103.12394714355469	139.80165100097656	266.85736083984375	120.5768814086914	170.32106018066406	111.40363311767578
B0BN85	Sugt1	Protein SGT1 homolog	SGT1_RAT	64.74176025390625	66.3553237915039	77.9590835571289	78.47589874267578	72.73948669433594	78.91624450683594	133.9828338623047	57.88277053833008	50.16493225097656	50.692626953125	78.09689331054688	54.5170783996582	90.2380142211914	58.140079498291016	59.369354248046875	76.52806091308594	64.82577514648438	74.27100372314453	62.04548645019531	66.98970031738281	105.78852081298828	82.10797119140625	64.77676391601562	53.819480895996094	52.046875	56.154178619384766	44.22677230834961	73.24300384521484	60.54438400268555	61.02126693725586	62.25746154785156	62.79673385620117	71.53520202636719	45.80964279174805	47.133243560791016	65.69911193847656
B0BN86	Tmem11	Transmembrane protein 11, mitochondrial	TMM11_RAT	95.64764404296875	70.73560333251953	77.99290466308594	54.15044403076172	66.82221984863281	69.78523254394531	31.332197189331055	93.07268524169922	107.32243347167969	129.49110412597656	59.91725540161133	79.35242462158203	50.44586181640625	84.92119598388672	55.27644348144531	67.31206512451172	64.84468841552734	65.28128814697266	81.86813354492188	85.60994720458984	94.65461730957031	85.29393005371094	88.8476333618164	61.46882247924805	72.15290832519531	68.7032470703125	99.85171508789062	97.61579895019531	65.69760131835938	78.77980041503906	55.577571868896484	46.059608459472656	44.353702545166016	72.10354614257812	83.99879455566406	66.2195816040039
B0BN93	Psmd13	26S proteasome non-ATPase regulatory subunit 13	PSD13_RAT	129.06979370117188	152.6206512451172	131.78622436523438	187.26121520996094	134.3328094482422	129.16441345214844	311.7422180175781	133.2129364013672	130.03436279296875	107.48192596435547	188.05758666992188	122.05422973632812	194.76438903808594	142.05430603027344	110.37825775146484	111.62667846679688	177.23040771484375	131.51121520996094	125.29273223876953	158.6319580078125	225.63929748535156	154.60874938964844	140.08242797851562	109.56842041015625	116.24666595458984	135.0794677734375	125.54987335205078	96.50537109375	155.2937774658203	96.57305908203125	151.08963012695312	99.06744384765625	164.55747985839844	98.59834289550781	113.83467864990234	97.70326232910156
B0BNA5	Cotl1	Coactosin-like protein	COTL1_RAT	NaN	145.8240509033203	85.34333801269531	NaN	NaN	158.98309326171875	219.1868438720703	NaN	NaN	NaN	NaN	NaN	112.98546600341797	73.49046325683594	44.44191360473633	57.58538818359375	NaN	NaN	NaN	NaN	NaN	NaN	206.36813354492188	NaN	NaN	NaN	142.05764770507812	NaN	131.77728271484375	NaN	NaN	NaN	97.52560424804688	NaN	152.0974884033203	177.22117614746094
B0BNA7	Eif3i	Eukaryotic translation initiation factor 3 subunit I	EIF3I_RAT	66.07403564453125	78.21759796142578	73.66239166259766	73.65444946289062	71.92930603027344	91.06898498535156	137.98155212402344	67.7679672241211	66.27266693115234	70.89727783203125	85.49773406982422	70.53570556640625	76.75064849853516	83.27477264404297	60.64048385620117	71.23280334472656	109.44367980957031	101.16321563720703	77.05570983886719	73.33766174316406	92.00739288330078	70.94844055175781	81.30770874023438	57.302894592285156	59.9581413269043	74.588134765625	58.515602111816406	64.2778091430664	83.734375	57.79494094848633	57.692691802978516	59.723724365234375	66.65264129638672	56.174461364746094	65.03711700439453	62.46951675415039
B0BNE5	Esd	S-formylglutathione hydrolase	ESTD_RAT	188.76602172851562	249.680908203125	219.35427856445312	219.58103942871094	277.0841369628906	253.02809143066406	354.3174133300781	227.4769287109375	230.0350799560547	252.95184326171875	307.78662109375	238.95753479003906	191.61827087402344	261.3016052246094	227.40048217773438	168.7478485107422	240.8856964111328	377.90020751953125	180.88963317871094	275.223876953125	172.72035217285156	336.58062744140625	209.5399169921875	196.69639587402344	285.8150329589844	181.027587890625	205.2084197998047	236.84901428222656	185.91493225097656	191.2214813232422	288.5254211425781	239.14071655273438	234.57057189941406	213.83950805664062	229.86924743652344	238.71046447753906
B0BNF1	Septin8	Septin-8	SEPT8_RAT	59.38590621948242	23.800630569458008	52.77759552001953	50.10554122924805	62.54144287109375	50.269596099853516	1178.7884521484375	48.36751937866211	65.42461395263672	35.494449615478516	50.47804260253906	50.082950592041016	51.261131286621094	52.85190200805664	43.3412971496582	40.66339111328125	47.88395690917969	26.4554386138916	40.06877517700195	39.573951721191406	97.98300170898438	46.44858169555664	45.69778060913086	45.22529602050781	60.958377838134766	42.07037353515625	50.01374435424805	34.48955535888672	73.67716979980469	38.74690246582031	42.465599060058594	37.34096145629883	36.552310943603516	31.04229736328125	43.5953483581543	34.784812927246094
B0BNG0	Emc2	ER membrane protein complex subunit 2	EMC2_RAT	42.15736770629883	73.71028137207031	61.008487701416016	105.86514282226562	47.4882926940918	38.27603530883789	NaN	56.13058853149414	48.942195892333984	37.482391357421875	116.55517578125	27.896976470947266	70.45411682128906	38.20064926147461	46.11109161376953	54.51565170288086	39.673744201660156	58.98349380493164	52.98153305053711	64.66455078125	85.80696868896484	93.06668853759766	90.06620788574219	42.83732604980469	61.134342193603516	45.096656799316406	29.530378341674805	50.31224060058594	52.85177993774414	72.03230285644531	58.46339416503906	50.323787689208984	43.829830169677734	33.63551330566406	22.845565795898438	48.071533203125
B0BNM1	Naxe	NAD(P)H-hydrate epimerase	NNRE_RAT	155.82723999023438	185.26406860351562	236.19293212890625	187.2679443359375	165.21511840820312	174.40330505371094	456.5569152832031	170.30108642578125	180.26780700683594	223.6396942138672	277.1614685058594	211.1011962890625	146.4959716796875	183.55010986328125	167.3767547607422	171.328369140625	168.41510009765625	227.5205841064453	115.45926666259766	143.5340576171875	126.54767608642578	142.66151428222656	127.63898468017578	123.15836334228516	195.99537658691406	132.95069885253906	151.73193359375	143.37612915039062	161.5391387939453	151.70498657226562	137.8411102294922	205.91192626953125	168.97357177734375	171.59017944335938	176.6929168701172	144.32398986816406
B0BNN3	Ca1	Carbonic anhydrase 1	CAH1_RAT	253.58885192871094	210.5832061767578	110.66901397705078	210.43382263183594	131.55747985839844	100.94187927246094	349.5239562988281	124.82249450683594	138.88525390625	332.91796875	162.49826049804688	185.28759765625	174.29791259765625	146.00799560546875	170.37254333496094	183.2976837158203	148.9133758544922	147.52615356445312	136.1057586669922	154.2042999267578	308.6005554199219	122.31997680664062	193.64288330078125	178.57688903808594	303.48492431640625	161.96888732910156	171.81382751464844	209.8870086669922	100.77774810791016	262.72650146484375	319.2254638671875	145.40696716308594	84.6749496459961	191.6307830810547	116.64382934570312	211.292724609375
B0K020	Cisd1	CDGSH iron-sulfur domain-containing protein 1	CISD1_RAT	247.55715942382812	284.6736755371094	323.7928771972656	247.3348846435547	240.89572143554688	229.69943237304688	60.897701263427734	250.72271728515625	286.1375732421875	362.0257873535156	193.7535858154297	400.5098876953125	287.906982421875	245.49514770507812	266.21368408203125	269.6187744140625	267.072998046875	234.3980712890625	246.17115783691406	271.7994079589844	203.39927673339844	223.2241973876953	254.60491943359375	332.3008728027344	304.1353759765625	184.33157348632812	305.82574462890625	386.4207763671875	195.1936798095703	321.8151550292969	186.57421875	332.4034423828125	190.39117431640625	318.508544921875	230.86911010742188	216.8227996826172
B0LT89	Stk24	Serine/threonine-protein kinase 24	STK24_RAT	58.02729797363281	91.2185287475586	93.31136322021484	86.39955139160156	76.30644226074219	77.41748046875	342.5757751464844	56.583702087402344	64.72610473632812	48.379913330078125	221.73574829101562	69.88054656982422	NaN	82.012451171875	57.57029342651367	55.21721649169922	83.30474853515625	96.84191131591797	46.123050689697266	77.57554626464844	174.76751708984375	116.56749725341797	86.19496154785156	43.981449127197266	77.42833709716797	71.47771453857422	55.51402282714844	92.89334106445312	78.51300048828125	85.85730743408203	84.8331298828125	25.322526931762695	89.25857543945312	56.91512680053711	38.2159538269043	67.88618469238281
B1H267	Snx5	Sorting nexin-5	SNX5_RAT	46.69624710083008	85.35037994384766	63.9764404296875	83.3651123046875	73.26361846923828	59.230560302734375	298.8463439941406	51.45042037963867	60.629066467285156	62.358524322509766	65.50212097167969	72.34379577636719	60.53321075439453	52.94249725341797	32.59041976928711	52.55620193481445	67.63111877441406	114.55658721923828	31.836505889892578	50.92679214477539	77.10417938232422	42.71051025390625	36.941402435302734	44.761844635009766	26.722888946533203	27.99167823791504	39.85390853881836	32.205604553222656	46.19260025024414	33.303749084472656	56.478965759277344	43.01917266845703	46.85809326171875	33.76944351196289	32.010318756103516	28.470317840576172
